Produto;Codigo_do_produto;Descricao_do_produto;Tamanho;Codigo_do_tamanho;Quantidade_de_vendas;Valor_do_pedido;Negocio;Genero;Cor;Codigo_da_cor;Data_da_venda
Sapato;PRD1718;Sapato Max;40;TAM40;15;R$ 732,67;Infantil;Infantil;Azul;CORAZU;30/04/2024
Papete;PRD8343;Papete Flex;40;TAM40;62;R$ 281,23;Casual;Unissex;Amarelo;CORAMA;28/11/2024
Crocs;PRD8472;Crocs Flex;35;TAM35;98;R$ 572,19;Aventura;Feminino;Azul;CORAZU;18/01/2024
Crocs;PRD9111;Crocs Urban;39;TAM39;61;R$ 659,61;Aventura;Infantil;Amarelo;CORAMA;26/11/2024
Bota;PRD6220;Bota Lite;40;TAM40;57;R$ 708,89;Casual;Infantil;Preto;CORPRE;27/01/2025
Papete;PRD4951;Papete Runner;42;TAM42;62;R$ 676,13;Infantil;Infantil;Verde;CORVER;26/01/2025
Chuteira;PRD9892;Chuteira Urban;42;TAM42;35;R$ 372,36;Social;Feminino;Verde;CORVER;12/07/2024
Crocs;PRD2985;Crocs Pro;39;TAM39;10;R$ 759,76;Casual;Unissex;Branco;CORBRA;30/06/2024
Chinelo;PRD1540;Chinelo Urban;35;TAM35;12;R$ 165,68;Esportivo;Masculino;Bege;CORBEG;25/04/2024
Bota;PRD1096;Bota Max;34;TAM34;91;R$ 761,61;Casual;Infantil;Branco;CORBRA;06/07/2024
Sapatênis;PRD3399;Sapatênis Max;36;TAM36;13;R$ 574,87;Social;Infantil;Amarelo;CORAMA;09/05/2024
Chinelo;PRD3366;Chinelo Lite;35;TAM35;91;R$ 537,80;Infantil;Unissex;Rosa;CORROS;14/11/2024
Papete;PRD3718;Papete Flex;38;TAM38;16;R$ 502,01;Infantil;Unissex;Verde;CORVER;11/03/2024
Papete;PRD7246;Papete Lite;38;TAM38;100;R$ 275,88;Casual;Unissex;Branco;CORBRA;28/01/2024
Chuteira;PRD6213;Chuteira Comfort;34;TAM34;75;R$ 254,52;Infantil;Masculino;Branco;CORBRA;27/12/2024
Mocassim;PRD9806;Mocassim Comfort;37;TAM37;86;R$ 295,88;Casual;Unissex;Vermelho;CORVER;03/01/2024
Papete;PRD4812;Papete Max;36;TAM36;25;R$ 236,21;Aventura;Infantil;Marrom;CORMAR;21/10/2024
Sandália;PRD7591;Sandália Comfort;37;TAM37;18;R$ 333,48;Esportivo;Unissex;Vermelho;CORVER;31/01/2025
Papete;PRD4412;Papete Comfort;40;TAM40;69;R$ 273,88;Esportivo;Unissex;Azul;CORAZU;22/04/2024
Sapatênis;PRD7768;Sapatênis Urban;37;TAM37;54;R$ 595,94;Aventura;Infantil;Azul;CORAZU;03/12/2024
Papete;PRD7403;Papete Runner;38;TAM38;26;R$ 542,95;Social;Infantil;Vermelho;CORVER;21/02/2024
Bota;PRD1206;Bota Urban;38;TAM38;84;R$ 682,50;Esportivo;Infantil;Azul;CORAZU;27/06/2024
Tênis;PRD7294;Tênis Comfort;37;TAM37;30;R$ 303,06;Esportivo;Feminino;Marrom;CORMAR;03/05/2024
Sapato;PRD6573;Sapato Urban;42;TAM42;25;R$ 665,94;Infantil;Infantil;Verde;CORVER;22/01/2025
Sapatênis;PRD4219;Sapatênis Lite;36;TAM36;85;R$ 747,23;Casual;Unissex;Vermelho;CORVER;05/05/2024
Chinelo;PRD3088;Chinelo Pro;34;TAM34;14;R$ 514,98;Casual;Feminino;Branco;CORBRA;26/09/2024
Crocs;PRD2713;Crocs Pro;40;TAM40;65;R$ 570,17;Social;Feminino;Vermelho;CORVER;08/05/2024
Tênis;PRD2910;Tênis Comfort;40;TAM40;2;R$ 216,38;Aventura;Masculino;Azul;CORAZU;22/01/2025
Mocassim;PRD8960;Mocassim Comfort;44;TAM44;80;R$ 771,11;Social;Feminino;Vermelho;CORVER;17/02/2024
Sapatênis;PRD2319;Sapatênis Lite;37;TAM37;63;R$ 433,97;Infantil;Infantil;Amarelo;CORAMA;16/07/2024
Chinelo;PRD3046;Chinelo Urban;44;TAM44;82;R$ 713,80;Infantil;Infantil;Rosa;CORROS;18/07/2024
Chinelo;PRD7595;Chinelo Max;38;TAM38;85;R$ 406,68;Casual;Unissex;Branco;CORBRA;01/07/2024
Chinelo;PRD6670;Chinelo Urban;34;TAM34;46;R$ 206,03;Casual;Infantil;Verde;CORVER;28/01/2025
Chinelo;PRD9716;Chinelo Comfort;38;TAM38;19;R$ 769,30;Social;Feminino;Azul;CORAZU;21/06/2024
Tênis;PRD9839;Tênis Pro;44;TAM44;95;R$ 560,28;Infantil;Infantil;Marrom;CORMAR;22/09/2024
Bota;PRD1064;Bota Lite;43;TAM43;18;R$ 410,46;Infantil;Infantil;Rosa;CORROS;11/01/2025
Papete;PRD5044;Papete Max;36;TAM36;52;R$ 633,75;Aventura;Infantil;Azul;CORAZU;17/04/2024
Mocassim;PRD1608;Mocassim Runner;35;TAM35;66;R$ 531,21;Infantil;Unissex;Bege;CORBEG;26/06/2024
Chuteira;PRD9892;Chuteira Urban;37;TAM37;55;R$ 516,02;Aventura;Feminino;Marrom;CORMAR;06/02/2024
Mocassim;PRD5759;Mocassim Lite;38;TAM38;8;R$ 655,16;Social;Unissex;Bege;CORBEG;23/01/2024
Sandália;PRD4790;Sandália Pro;37;TAM37;40;R$ 464,15;Social;Unissex;Rosa;CORROS;03/01/2024
Tênis;PRD5942;Tênis Runner;44;TAM44;93;R$ 476,43;Aventura;Infantil;Bege;CORBEG;19/12/2024
Tênis;PRD1890;Tênis Urban;42;TAM42;96;R$ 336,87;Social;Feminino;Verde;CORVER;21/10/2024
Sapato;PRD7247;Sapato Lite;44;TAM44;68;R$ 432,33;Social;Infantil;Bege;CORBEG;10/07/2024
Papete;PRD5344;Papete Urban;38;TAM38;73;R$ 308,75;Aventura;Unissex;Bege;CORBEG;22/02/2024
Papete;PRD7660;Papete Urban;35;TAM35;50;R$ 435,38;Esportivo;Feminino;Verde;CORVER;14/03/2024
Papete;PRD2359;Papete Pro;41;TAM41;78;R$ 630,98;Aventura;Feminino;Bege;CORBEG;25/12/2024
Mocassim;PRD7386;Mocassim Runner;43;TAM43;28;R$ 150,02;Aventura;Feminino;Verde;CORVER;29/12/2024
Sapatênis;PRD4642;Sapatênis Comfort;38;TAM38;31;R$ 317,87;Casual;Masculino;Rosa;CORROS;24/04/2024
Crocs;PRD4722;Crocs Lite;43;TAM43;46;R$ 714,10;Casual;Infantil;Vermelho;CORVER;03/06/2024
Chinelo;PRD4294;Chinelo Urban;37;TAM37;14;R$ 338,18;Aventura;Unissex;Branco;CORBRA;29/12/2024
Papete;PRD8894;Papete Comfort;43;TAM43;71;R$ 257,76;Aventura;Masculino;Branco;CORBRA;26/02/2024
Bota;PRD5045;Bota Pro;34;TAM34;4;R$ 478,88;Infantil;Feminino;Preto;CORPRE;15/07/2024
Bota;PRD5798;Bota Flex;39;TAM39;97;R$ 404,84;Casual;Feminino;Rosa;CORROS;20/11/2024
Sapatênis;PRD2063;Sapatênis Flex;44;TAM44;56;R$ 224,89;Esportivo;Infantil;Bege;CORBEG;21/11/2024
Crocs;PRD4083;Crocs Pro;44;TAM44;80;R$ 305,19;Esportivo;Feminino;Bege;CORBEG;24/05/2024
Chuteira;PRD6025;Chuteira Comfort;42;TAM42;20;R$ 590,13;Infantil;Unissex;Branco;CORBRA;15/12/2024
Crocs;PRD9488;Crocs Runner;40;TAM40;22;R$ 508,06;Casual;Infantil;Branco;CORBRA;01/10/2024
Tênis;PRD6843;Tênis Lite;44;TAM44;23;R$ 622,63;Aventura;Unissex;Rosa;CORROS;30/12/2024
Chinelo;PRD3773;Chinelo Max;41;TAM41;54;R$ 342,21;Esportivo;Infantil;Amarelo;CORAMA;08/01/2024
Papete;PRD8008;Papete Comfort;40;TAM40;41;R$ 591,16;Esportivo;Masculino;Verde;CORVER;18/01/2024
Bota;PRD8167;Bota Urban;37;TAM37;96;R$ 541,18;Esportivo;Feminino;Rosa;CORROS;14/04/2024
Sandália;PRD3992;Sandália Max;35;TAM35;48;R$ 687,00;Aventura;Feminino;Bege;CORBEG;29/05/2024
Sandália;PRD9992;Sandália Pro;40;TAM40;41;R$ 379,20;Casual;Feminino;Rosa;CORROS;05/04/2024
Chuteira;PRD3776;Chuteira Lite;38;TAM38;75;R$ 124,96;Infantil;Feminino;Rosa;CORROS;20/01/2025
Papete;PRD2313;Papete Lite;41;TAM41;34;R$ 727,51;Aventura;Infantil;Rosa;CORROS;18/06/2024
Sapatênis;PRD6022;Sapatênis Lite;40;TAM40;61;R$ 500,63;Social;Masculino;Cinza;CORCIN;20/09/2024
Chinelo;PRD9112;Chinelo Max;42;TAM42;14;R$ 276,88;Esportivo;Infantil;Verde;CORVER;29/03/2024
Crocs;PRD6947;Crocs Lite;44;TAM44;88;R$ 652,85;Esportivo;Feminino;Marrom;CORMAR;12/04/2024
Crocs;PRD4941;Crocs Max;35;TAM35;39;R$ 446,88;Esportivo;Masculino;Rosa;CORROS;11/01/2024
Chuteira;PRD2867;Chuteira Flex;42;TAM42;29;R$ 245,14;Esportivo;Unissex;Bege;CORBEG;16/10/2024
Tênis;PRD3489;Tênis Pro;39;TAM39;36;R$ 345,29;Casual;Infantil;Branco;CORBRA;22/01/2024
Chinelo;PRD5663;Chinelo Flex;35;TAM35;21;R$ 677,61;Infantil;Infantil;Branco;CORBRA;12/05/2024
Chuteira;PRD4038;Chuteira Comfort;37;TAM37;53;R$ 595,51;Casual;Infantil;Branco;CORBRA;01/04/2024
Mocassim;PRD9189;Mocassim Pro;38;TAM38;52;R$ 584,03;Social;Unissex;Verde;CORVER;27/09/2024
Crocs;PRD5132;Crocs Flex;40;TAM40;53;R$ 775,35;Infantil;Unissex;Amarelo;CORAMA;06/01/2024
Crocs;PRD4819;Crocs Max;41;TAM41;64;R$ 313,78;Casual;Infantil;Vermelho;CORVER;15/10/2024
Sapatênis;PRD1460;Sapatênis Comfort;37;TAM37;38;R$ 703,48;Esportivo;Feminino;Marrom;CORMAR;02/10/2024
Crocs;PRD5173;Crocs Urban;39;TAM39;20;R$ 365,13;Casual;Unissex;Bege;CORBEG;26/01/2024
Papete;PRD7579;Papete Urban;41;TAM41;37;R$ 481,47;Aventura;Masculino;Marrom;CORMAR;19/01/2024
Mocassim;PRD4762;Mocassim Runner;44;TAM44;38;R$ 398,64;Social;Feminino;Bege;CORBEG;18/06/2024
Chinelo;PRD5176;Chinelo Max;42;TAM42;11;R$ 352,80;Esportivo;Unissex;Vermelho;CORVER;25/05/2024
Tênis;PRD5231;Tênis Urban;38;TAM38;83;R$ 108,54;Esportivo;Masculino;Cinza;CORCIN;14/04/2024
Tênis;PRD2374;Tênis Max;42;TAM42;57;R$ 434,88;Casual;Unissex;Vermelho;CORVER;26/06/2024
Crocs;PRD5537;Crocs Runner;37;TAM37;6;R$ 510,05;Esportivo;Unissex;Verde;CORVER;31/01/2025
Tênis;PRD4161;Tênis Max;43;TAM43;2;R$ 564,16;Aventura;Infantil;Marrom;CORMAR;23/01/2025
Crocs;PRD9812;Crocs Max;42;TAM42;57;R$ 275,59;Esportivo;Masculino;Branco;CORBRA;13/05/2024
Chuteira;PRD1325;Chuteira Pro;42;TAM42;31;R$ 397,97;Social;Infantil;Bege;CORBEG;15/10/2024
Sapato;PRD9123;Sapato Runner;42;TAM42;83;R$ 792,68;Infantil;Masculino;Amarelo;CORAMA;24/04/2024
Sandália;PRD2091;Sandália Pro;37;TAM37;66;R$ 429,14;Casual;Feminino;Rosa;CORROS;25/03/2024
Sandália;PRD3590;Sandália Max;36;TAM36;94;R$ 496,46;Esportivo;Feminino;Branco;CORBRA;07/04/2024
Chinelo;PRD9196;Chinelo Max;37;TAM37;71;R$ 108,01;Casual;Masculino;Preto;CORPRE;03/03/2024
Crocs;PRD5987;Crocs Comfort;40;TAM40;53;R$ 433,58;Aventura;Unissex;Azul;CORAZU;19/06/2024
Chuteira;PRD2233;Chuteira Flex;39;TAM39;92;R$ 529,21;Aventura;Infantil;Marrom;CORMAR;14/06/2024
Crocs;PRD2349;Crocs Pro;44;TAM44;80;R$ 191,60;Aventura;Masculino;Cinza;CORCIN;18/01/2024
Sandália;PRD3102;Sandália Comfort;38;TAM38;83;R$ 430,48;Social;Infantil;Rosa;CORROS;19/09/2024
Sandália;PRD1510;Sandália Max;40;TAM40;56;R$ 461,55;Aventura;Feminino;Branco;CORBRA;10/03/2024
Sapato;PRD6613;Sapato Runner;38;TAM38;51;R$ 572,88;Social;Feminino;Branco;CORBRA;19/10/2024
Bota;PRD9281;Bota Urban;44;TAM44;5;R$ 229,25;Casual;Infantil;Bege;CORBEG;10/07/2024
Papete;PRD7884;Papete Max;42;TAM42;96;R$ 255,87;Esportivo;Masculino;Branco;CORBRA;31/12/2024
Sapatênis;PRD3757;Sapatênis Comfort;44;TAM44;96;R$ 319,30;Social;Infantil;Rosa;CORROS;23/02/2024
Bota;PRD2229;Bota Lite;37;TAM37;53;R$ 249,16;Aventura;Masculino;Amarelo;CORAMA;28/05/2024
Papete;PRD7909;Papete Comfort;43;TAM43;51;R$ 598,97;Casual;Unissex;Amarelo;CORAMA;09/12/2024
Sandália;PRD6991;Sandália Urban;41;TAM41;47;R$ 314,56;Infantil;Unissex;Vermelho;CORVER;13/08/2024
Chinelo;PRD2687;Chinelo Lite;38;TAM38;26;R$ 192,30;Esportivo;Masculino;Branco;CORBRA;02/09/2024
Chinelo;PRD1991;Chinelo Pro;44;TAM44;84;R$ 618,11;Casual;Infantil;Branco;CORBRA;11/01/2024
Bota;PRD5108;Bota Urban;44;TAM44;48;R$ 482,58;Aventura;Infantil;Marrom;CORMAR;30/09/2024
Mocassim;PRD4246;Mocassim Flex;42;TAM42;23;R$ 511,47;Casual;Feminino;Azul;CORAZU;25/01/2025
Crocs;PRD7584;Crocs Lite;41;TAM41;60;R$ 530,80;Casual;Infantil;Rosa;CORROS;01/04/2024
Bota;PRD4330;Bota Max;42;TAM42;52;R$ 776,15;Casual;Unissex;Amarelo;CORAMA;29/06/2024
Mocassim;PRD9541;Mocassim Lite;42;TAM42;34;R$ 137,01;Infantil;Feminino;Marrom;CORMAR;31/01/2024
Sapato;PRD6782;Sapato Comfort;36;TAM36;85;R$ 273,20;Aventura;Infantil;Preto;CORPRE;21/01/2024
Sapatênis;PRD5090;Sapatênis Comfort;36;TAM36;97;R$ 598,36;Esportivo;Feminino;Azul;CORAZU;25/12/2024
Chinelo;PRD3223;Chinelo Max;41;TAM41;14;R$ 684,04;Aventura;Unissex;Cinza;CORCIN;01/03/2024
Mocassim;PRD5978;Mocassim Pro;35;TAM35;68;R$ 471,83;Aventura;Feminino;Preto;CORPRE;11/09/2024
Sandália;PRD2459;Sandália Lite;35;TAM35;9;R$ 745,20;Infantil;Feminino;Branco;CORBRA;06/09/2024
Tênis;PRD1502;Tênis Pro;41;TAM41;77;R$ 444,05;Casual;Masculino;Azul;CORAZU;25/07/2024
Tênis;PRD3780;Tênis Pro;43;TAM43;36;R$ 787,65;Esportivo;Unissex;Amarelo;CORAMA;19/02/2024
Sapato;PRD9501;Sapato Pro;43;TAM43;5;R$ 341,69;Infantil;Infantil;Preto;CORPRE;12/09/2024
Sandália;PRD8152;Sandália Urban;35;TAM35;3;R$ 216,06;Infantil;Feminino;Cinza;CORCIN;16/07/2024
Bota;PRD8316;Bota Max;36;TAM36;15;R$ 466,85;Casual;Masculino;Cinza;CORCIN;22/04/2024
Mocassim;PRD9513;Mocassim Runner;37;TAM37;7;R$ 241,97;Esportivo;Masculino;Vermelho;CORVER;14/12/2024
Mocassim;PRD2088;Mocassim Urban;43;TAM43;79;R$ 103,13;Esportivo;Masculino;Rosa;CORROS;05/09/2024
Papete;PRD2841;Papete Comfort;41;TAM41;26;R$ 258,95;Esportivo;Unissex;Rosa;CORROS;22/11/2024
Papete;PRD2902;Papete Comfort;42;TAM42;18;R$ 599,31;Infantil;Infantil;Verde;CORVER;28/07/2024
Sandália;PRD8398;Sandália Runner;34;TAM34;91;R$ 500,12;Casual;Infantil;Preto;CORPRE;08/06/2024
Bota;PRD5188;Bota Lite;44;TAM44;43;R$ 127,85;Aventura;Masculino;Rosa;CORROS;15/04/2024
Chinelo;PRD6488;Chinelo Lite;35;TAM35;85;R$ 535,80;Casual;Feminino;Preto;CORPRE;23/12/2024
Sapatênis;PRD7471;Sapatênis Max;42;TAM42;50;R$ 391,00;Aventura;Unissex;Bege;CORBEG;03/10/2024
Chuteira;PRD3586;Chuteira Max;37;TAM37;35;R$ 199,68;Social;Masculino;Rosa;CORROS;03/01/2025
Sapatênis;PRD7561;Sapatênis Flex;34;TAM34;49;R$ 552,97;Infantil;Unissex;Vermelho;CORVER;26/07/2024
Chinelo;PRD6405;Chinelo Runner;37;TAM37;52;R$ 738,48;Aventura;Unissex;Marrom;CORMAR;14/12/2024
Sapato;PRD9165;Sapato Runner;41;TAM41;61;R$ 592,60;Casual;Masculino;Branco;CORBRA;22/08/2024
Chinelo;PRD1002;Chinelo Lite;42;TAM42;96;R$ 494,81;Social;Infantil;Amarelo;CORAMA;23/02/2024
Crocs;PRD9800;Crocs Flex;34;TAM34;83;R$ 593,42;Aventura;Infantil;Amarelo;CORAMA;16/10/2024
Papete;PRD6590;Papete Urban;41;TAM41;41;R$ 275,71;Casual;Feminino;Vermelho;CORVER;03/05/2024
Chinelo;PRD9679;Chinelo Urban;39;TAM39;97;R$ 277,20;Infantil;Feminino;Azul;CORAZU;21/10/2024
Mocassim;PRD1252;Mocassim Lite;38;TAM38;64;R$ 488,03;Social;Infantil;Vermelho;CORVER;08/01/2024
Sandália;PRD6984;Sandália Flex;38;TAM38;89;R$ 111,52;Social;Feminino;Azul;CORAZU;18/09/2024
Chinelo;PRD2709;Chinelo Runner;34;TAM34;95;R$ 702,50;Infantil;Feminino;Bege;CORBEG;13/06/2024
Papete;PRD7102;Papete Urban;38;TAM38;76;R$ 311,81;Social;Masculino;Verde;CORVER;18/01/2025
Mocassim;PRD7058;Mocassim Max;36;TAM36;23;R$ 378,17;Infantil;Feminino;Branco;CORBRA;29/02/2024
Sandália;PRD7974;Sandália Comfort;40;TAM40;100;R$ 644,89;Social;Masculino;Bege;CORBEG;01/06/2024
Chuteira;PRD3282;Chuteira Runner;42;TAM42;39;R$ 170,33;Casual;Infantil;Marrom;CORMAR;17/07/2024
Sapatênis;PRD7635;Sapatênis Comfort;37;TAM37;84;R$ 421,54;Esportivo;Unissex;Vermelho;CORVER;20/08/2024
Papete;PRD7081;Papete Comfort;39;TAM39;70;R$ 363,05;Esportivo;Masculino;Verde;CORVER;16/01/2024
Chuteira;PRD4662;Chuteira Lite;35;TAM35;82;R$ 625,35;Social;Unissex;Preto;CORPRE;19/01/2024
Mocassim;PRD1712;Mocassim Flex;34;TAM34;85;R$ 501,40;Infantil;Infantil;Verde;CORVER;10/07/2024
Sapatênis;PRD2407;Sapatênis Pro;43;TAM43;78;R$ 516,27;Casual;Unissex;Azul;CORAZU;09/04/2024
Sapato;PRD6244;Sapato Runner;44;TAM44;49;R$ 601,43;Aventura;Feminino;Amarelo;CORAMA;25/10/2024
Tênis;PRD9772;Tênis Comfort;43;TAM43;69;R$ 728,35;Social;Masculino;Rosa;CORROS;12/12/2024
